Product ID,Name,Model,Description,Price,Tax Class,Categories
9244,SENCAN LED FILAMENT RUSTIK AMPUL SNC-260,SNC-260,"3000K, 4000K, 6500K ILIK BEYAZ","55,000",KDV (%18),109
9245,SENCAN LED FILAMENT RUSTIK AMPUL SNC-282,SNC-282,220-240V | 6W | 690 LM | E14 | 4000K ILIK BEYAZ,"21,000",KDV (%18),109
9246,SENCAN LED FILAMENT RUSTIK AMPUL SNC-25,SNC-25,"220-240V | 4W | 350 LM | E14 | 2700K, 3200K, 4000K","16,000",KDV (%18),109
9247,SENCAN LED FILAMENT RUSTIK AMPUL SNC-23,SNC-23,"220-240V | 4W | 350 LM | E14 | 2700K, 3200K, 4000K","16,000",KDV (%18),109
9248,SENCAN LED FILAMENT RUSTIK AMPUL SNC-92,SNC-92,220-240V | 6W | 690 LM | E14 | 3000K,"21,000",KDV (%18),109
9249,SENCAN LED FILAMENT RUSTIK AMPUL SNC-83,SNC-83,220-240V | 6W | 690 LM | E14 | 3000K,"21,000",KDV (%18),109
9250,SENCAN LED FILAMENT RUSTIK AMPUL SNC-35,SNC-35,220-240V | 8W | 1050 LM | E14 | 3000K,"36,000",KDV (%18),109
9251,SENCAN LED FILAMENT RUSTIK AMPUL SNC-36,SNC-36,220-240V | 8W | E14 | 3000K,"36,000",KDV (%18),109
9252,SENCAN LED FILAMENT RUSTIK AMPUL SNC-93,SNC-93,220-240V | 6W | 690 LM | E14 | 6500K BEYAZ IŞIK,"21,000",KDV (%18),109
9253,SENCAN LED FILAMENT RUSTIK AMPUL SNC-94,SNC-94,240V | 6W | 690 LM | E14 | 6500K BEYAZ IŞIK,"21,000",KDV (%18),109
9254,SENCAN LED FILAMENT RUSTIK AMPUL SNC-51,SNC-51,220-240V | 4W | 390 LM | E14 | BAL CAM | 2500K,"36,000",KDV (%18),109
9255,SENCAN LED FILAMENT RUSTIK AMPUL SNC-208,SNC-208,220-240V | 4W | 270 LM | E14 | 2700K AMBER,"23,000",KDV (%18),109
9256,SENCAN LED FILAMENT RUSTIK AMPUL SNC-98,SNC-98,"220-240V | 4W | 270 LM | E14 | BAL CAM | 2200K, 2700K AMBER","23,000",KDV (%18),109
9257,SENCAN LED FILAMENT RUSTIK AMPUL SNC-34,SNC-34,220-240V | 6W | 575 LM | E14 | BAL CAM | 2500K,"24,000",KDV (%18),109
9258,SENCAN LED FILAMENT RUSTIK AMPUL SNC-66,SNC-66,220-240V | 4W | 3500 LM | E14 | BAL CAM | 2200K AMBER,"36,500",KDV (%18),109
9259,SENCAN LED FILAMENT RUSTIK AMPUL SNC-248,SNC-248,220-240V | 6W | 530 LM | E14 | BAL CAM | 2500K,"26,000",KDV (%18),109
9260,SENCAN LED FILAMENT RUSTIK AMPUL SNC-43,SNC-43,220-240V | 6W | 530 LM | E27 | BAL CAM | 2500K,"26,000",KDV (%18),109
9261,SENCAN LED FILAMENT RUSTIK AMPUL SNC-44,SNC-44,220-240V | 6W | 690 LM | E14 | 3000K,"24,000",KDV (%18),109
9262,SENCAN LED FILAMENT RUSTIK AMPUL SNC-213,SNC-213,220-240V | 4W | 270 LM | E14 | BAL CAM | 2200K AMBER,"28,000",KDV (%18),109
9263,SENCAN LED FILAMENT RUSTIK AMPUL SNC-49,SNC-49,220-240V | 4W | 350 LM | E14 | 2700K,"26,000",KDV (%18),109
9264,SENCAN LED FILAMENT RUSTIK AMPUL SNC-214,SNC-214,220-240V | 4W | 270 LM | E27 | BAL CAM | 1800K AMBER,"28,000",KDV (%18),109
9265,SENCAN LED FILAMENT RUSTIK AMPUL SNC-27,SNC-27,220-240V | 4W | 350 LM | E27 | 2700K,"26,000",KDV (%18),109
9266,SENCAN LED FILAMENT RUSTIK AMPUL SNC-69,SNC-69,220-240V | 2W | 220 LM | E14 | 2700K,"27,500",KDV (%18),109
9267,SENCAN LED FILAMENT RUSTIK AMPUL SNC-290,SNC-290,"220-240V | 2W | 120 LM | E14 | 3000K, 6500K","16,500",KDV (%18),109
9268,SENCAN LED FILAMENT RUSTIK AMPUL SNC-42,SNC-42,220-240V | 6W | 690 LM | E27 | BAL CAM | 3000K,"24,000",KDV (%18),109
9269,SENCAN LED FILAMENT RUSTIK AMPUL SNC-247,SNC-247,220-240V | 6W | 690 LM | E27 | 6500K BEYAZ IŞIK,"24,000",KDV (%18),109
9270,SENCAN LED FILAMENT RUSTIK AMPUL SNC-237,SNC-237,220-240V | 6W | 575 LM | E14 | OPAL CAM | 3000K GÜN IŞIĞI,"24,000",KDV (%18),109
9271,SENCAN LED FILAMENT RUSTIK AMPUL SNC-99,SNC-99,220-240V | 4W | 275 LM | E14 | BUZLU CAM | 2700K,"24,000",KDV (%18),109
9272,SENCAN LED FILAMENT RUSTIK AMPUL SNC-215,SNC-215,"220-240V | 5W | 3500 LM | E27 | 3000K, 6500K BEYAZ","16,000",KDV (%18),109
9273,SENCAN LED FILAMENT RUSTIK AMPUL SNC-239,SNC-239,220-240V | 6W | 630 LM | E27 | OPAL CAM | 3000K,"25,500",KDV (%18),109
9274,SENCAN LED FILAMENT RUSTIK AMPUL SNC-261,SNC-261,"220-240V | 6W | 760 LM | E27 | 3000K, 4000K, 6500K ILIK BEYAZ","58,000",KDV (%18),109
9275,SENCAN LED FILAMENT RUSTIK AMPUL SNC-283,SNC-283,220-240V | 6W | 660 LM | E27 | 4000K ILIK BEYAZ,"24,000",KDV (%18),109
9276,SENCAN LED FILAMENT RUSTIK AMPUL SNC-28,SNC-28,"220-240V | 4W | E27 | 2700K, 3200K, 4000K","20,000",KDV (%18),109
9277,SENCAN LED FILAMENT RUSTIK AMPUL SNC-95,SNC-95,220-240V | 6W | E27 | 3000K,"24,000",KDV (%18),109
9278,SENCAN LED FILAMENT RUSTIK AMPUL SNC-96,SNC-96,220-240V | 6W | 660 LM | E27 | 6500K BEYAZ IŞIK,"24,000",KDV (%18),109
9279,SENCAN LED FILAMENT RUSTIK AMPUL SNC-252,SNC-252,220-240V | 8W | E27 | 3000K,"44,000",KDV (%18),109
9280,SENCAN LED FILAMENT RUSTIK AMPUL SNC-304,SNC-304,220-240V | 12W | 1500 LM | E27 | ŞEFFAF CAM | 3000K,"55,000",KDV (%18),109
9281,SENCAN LED FILAMENT RUSTIK AMPUL SNC-50,SNC-50,"220-240V | 4W | 250 LM | E27 | BAL CAM | 1800K, 2200K, 2700K AMBER","28,000",KDV (%18),109
9282,SENCAN LED FILAMENT RUSTIK AMPUL SNC-37,SNC-37,220-240V | 6W | 575 LM | E27 | BAL CAM | 2500K,"26,000",KDV (%18),109
9283,SENCAN LED FILAMENT RUSTIK AMPUL SNC-210,SNC-210,220-240V | 4W | 250 LM | E27 | ŞEFFAF CAM | 2200K,"135,000",KDV (%18),108
9284,SENCAN LED FILAMENT RUSTIK AMPUL SNC-211,SNC-211,220-240V | 4W | 250 LM | E27 | ŞEFFAF CAM | 2200K,"120,000",KDV (%18),108
9285,SENCAN LED FILAMENT RUSTIK AMPUL SNC-235-2,SNC-235-2,220-240V | 4W | 250 LM | E27 | OPAL CAM,"35,000",KDV (%18),108
9286,SENCAN LED FILAMENT RUSTIK AMPUL SNC-234,SNC-234,220-240V | 6W | 575 LM | E27 | OPAL CAM | 3000K,"35,000",KDV (%18),108
9287,SENCAN LED FILAMENT RUSTIK AMPUL SNC-97,SNC-97,220-240V | 6W | 575 LM | E27 | OPAL CAM | 3000K,"32,000",KDV (%18),108
9288,SENCAN LED FILAMENT RUSTIK AMPUL SNC-45,SNC-45,220-240V | 4W | 260 LM | E27 | BAL CAM | 2700K,"29,000",KDV (%18),108
9289,SENCAN LED FILAMENT RUSTIK AMPUL SNC-31,SNC-31,220-240V | 6W | 575 LM | E27 | BAL CAM | 2500K,"26,000",KDV (%18),108
9290,SENCAN LED FILAMENT RUSTIK AMPUL SNC-81,SNC-81,"220-240V | 4W | 270 LM | E27 | BAL CAM | 1800K, 2200K, 2500K, 2700K AMBER","30,000",KDV (%18),108
9291,SENCAN LED FILAMENT RUSTIK AMPUL SNC-53,SNC-53,220-240V | 6W | 575 LM | E27 | BAL CAM | 2500K,"33,500",KDV (%18),108
9292,SENCAN LED FILAMENT RUSTIK AMPUL SNC-85,SNC-85,240V | 8W | 750 LM | E27 | BAL CAM | 2500K,"30,000",KDV (%18),108
9293,SENCAN LED FILAMENT RUSTIK AMPUL SNC-209,SNC-209,220-240V | 6W | 660 LM | E27 | 2700K,"30,000",KDV (%18),108
9294,SENCAN LED FILAMENT RUSTIK AMPUL SNC-31-2,SNC-31-2,220-240V | 6W | 660 LM | E27 | ŞEFFAF CAM | 6500K BEYAZ IŞIK,"37,500",KDV (%18),108
9295,SENCAN LED FILAMENT RUSTIK AMPUL SNC-30,SNC-30,20-240V | 4W | 250 LM | E27,"39,000",KDV (%18),108
